Epoch,loss,rpn_class_loss,rpn_bbox_loss,mrcnn_class_loss,mrcnn_bbox_loss,mrcnn_mask_loss,val_loss,val_rpn_class_loss,val_rpn_bbox_loss,val_mrcnn_class_loss,val_mrcnn_bbox_loss,val_mrcnn_mask_loss
1,3.290907122313976,0.44644010066986084,1.1613436937332153,0.08828845620155334,0.5721515417098999,1.0226833820343018,2.5444050669670104,0.16648192703723907,0.9718824625015259,0.264289915561676,0.42147231101989746,0.7202785611152649
2,1.9329657065868378,0.13527053594589233,0.8385650515556335,0.14540541172027588,0.2917298376560211,0.5219947695732117,1.7578848326206207,0.08605149388313293,0.658754825592041,0.3274807631969452,0.22975783050060272,0.4558400809764862
3,1.437853278338909,0.09325972199440002,0.6577377319335938,0.1187020093202591,0.18689996004104614,0.3812538683414459,1.4074505853652954,0.056768998503685,0.46047061681747437,0.2915334105491638,0.1948142945766449,0.40386319160461426
4,1.3831236241459846,0.07380881160497665,0.7003586888313293,0.1076120138168335,0.15672390162944794,0.34462055563926697,1.501634279191494,0.047886546701192856,0.6313793659210205,0.264533132314682,0.17424635589122772,0.38358891010284424
5,1.2624499207139015,0.0636352002620697,0.5984470248222351,0.10731901228427887,0.1501302570104599,0.3429184556007385,1.5422831326723099,0.053125444799661636,0.6332557797431946,0.24659301340579987,0.19433939456939697,0.41496941447257996
6,1.1823139204382895,0.05559278279542923,0.5494098663330078,0.09832724928855896,0.14155234396457672,0.33743199706077576,1.4462630534172058,0.0453234538435936,0.46043190360069275,0.3776870369911194,0.16448211669921875,0.39833858609199524
7,1.243839879065752,0.05566951259970665,0.6171305179595947,0.10254117846488953,0.13690157234668732,0.33159711956977844,1.4900028216838836,0.03846115246415138,0.5758521556854248,0.32842692732810974,0.17830650508403778,0.3689559996128082
8,1.2028633474707604,0.05362356826663017,0.599345862865448,0.09303037822246552,0.1341957151889801,0.3226676881313324,1.4286567479372025,0.03751741349697113,0.5963266491889954,0.2934117019176483,0.15161500871181488,0.34978604316711426
9,1.1458909390568732,0.04859446734189987,0.5664606094360352,0.09044046700000763,0.12379466742277145,0.31660065054893494,1.3113546365499495,0.04266780987381935,0.5163059830665588,0.2714900076389313,0.15024951100349426,0.33064132928848267
10,1.1216853036284447,0.05070575699210167,0.5338547825813293,0.08874055743217468,0.12782542407512665,0.3205585777759552,1.1667408660054206,0.03752017393708229,0.3272492289543152,0.30782967805862427,0.13833843171596527,0.35580331087112427
11,1.099031726449728,0.04868040606379509,0.5337232947349548,0.08917686343193054,0.11862824112176895,0.308822900056839,1.4773713660240173,0.03730522468686104,0.5926081538200378,0.3193179965019226,0.15596336126327515,0.3721767067909241
12,1.1378372356891633,0.04895647615194321,0.5548529624938965,0.08994533121585846,0.12715287506580353,0.3169296979904175,1.4546168768405914,0.03263469040393829,0.48823651671409607,0.397827684879303,0.1638612598180771,0.37205666303634644
13,1.0175450868606568,0.03519546613097191,0.48382243514060974,0.08361589908599854,0.11301767826080322,0.3018934726715088,1.3043764126300812,0.027719665318727493,0.45315226912498474,0.284577339887619,0.15215440094470978,0.38677266240119934
14,1.0922302485108375,0.042917463928461075,0.5409641861915588,0.08612562716007233,0.11370228230953217,0.3085205852985382,1.3730495768785476,0.027507204562425613,0.4621448516845703,0.3900778293609619,0.14531707763671875,0.34800267219543457
15,1.0219378316700458,0.03921299800276756,0.47470805048942566,0.08588385581970215,0.1162886768579483,0.30584412813186646,1.2348437094688416,0.03304074704647064,0.36947277188301086,0.31252846121788025,0.15844550728797913,0.36135613918304443
16,1.001791331410408,0.044298868626356125,0.4640861749649048,0.07987291365861893,0.11523053795099258,0.29830318689346313,1.3950609982013702,0.023635150864720345,0.5533553957939148,0.3428749442100525,0.13835161924362183,0.336843878030777
17,1.0347310697436334,0.04126153886318207,0.5129289031028748,0.07947719097137451,0.10451584309339523,0.296547532081604,1.2356173384189606,0.036745812743902206,0.3458499014377594,0.35156601667404175,0.15530985593795776,0.34614577889442444
18,0.9815636990070343,0.03744693100452423,0.4557173252105713,0.08188766986131668,0.10911565274000168,0.29739630222320557,1.318054705262184,0.028556952252984047,0.3864325284957886,0.3586059808731079,0.15142148733139038,0.3930377662181854
19,0.9260923793911934,0.03809810057282448,0.4105117619037628,0.07945223152637482,0.1060953438282013,0.2919349670410156,1.1192044153809548,0.0351610891520977,0.31899940967559814,0.298612117767334,0.1333926022052765,0.33303916454315186
20,1.0027990521490573,0.03786643221974373,0.4753434956073761,0.08263736963272095,0.11207011342048645,0.2948814332485199,1.2523503610491753,0.02943139337003231,0.39431092143058777,0.3483375608921051,0.14703871309757233,0.33323174715042114
21,1.0356190260350704,0.03861992806196213,0.519330620765686,0.08202416449785233,0.10757974535226822,0.28806447982788086,1.5269176244735718,0.034676216542720795,0.648694634437561,0.3414820730686188,0.14848314225673676,0.35358157753944397
22,0.9667383754253387,0.03911390155553818,0.46370288729667664,0.07548418641090393,0.10100104659795761,0.2874363362789154,1.594409709572792,0.03133491426706314,0.6128028631210327,0.4207528829574585,0.15219604969024658,0.3773229718208313
23,0.935992127507925,0.03149724379181862,0.4483271539211273,0.07583070546388626,0.09861711412668228,0.28172019124031067,1.1962034252285958,0.0456351712346077,0.34051162004470825,0.36125752329826355,0.12956804037094116,0.3192310333251953
24,0.9078814089596271,0.03510186821222305,0.42376288771629333,0.07291550934314728,0.09849318116903305,0.27760782837867737,1.218554686009884,0.026972267776727676,0.46707698702812195,0.2772309482097626,0.12432259321212769,0.3229518532752991
25,0.9867163760066032,0.04386962577700615,0.49165529012680054,0.07351849973201752,0.09702229499816895,0.2806505858898163,1.196464930176735,0.05067066848278046,0.31684523820877075,0.3634161651134491,0.14585207402706146,0.3196808993816376
26,0.9099830296635628,0.037146832793951035,0.428459495306015,0.0706438273191452,0.0979575663805008,0.27577534317970276,1.2741353940963744,0.02103375270962715,0.4636281132698059,0.3367873430252075,0.1309863030910492,0.32169973850250244
27,0.9437799064218998,0.03413575887680054,0.4656012952327728,0.069344662129879,0.09599050879478455,0.27870771288871765,1.1072101616859436,0.029055792838335037,0.30511370301246643,0.3204023838043213,0.12366944551467896,0.3289688527584076
28,0.8999859602153302,0.03419982269406319,0.4167359173297882,0.06756149232387543,0.09847903251647949,0.2830098867416382,1.4236931681632996,0.02494669146835804,0.527816891670227,0.39349520206451416,0.1396062970161438,0.3378280699253082
29,0.9283705601394177,0.03385518118739128,0.45370522141456604,0.06961127370595932,0.09350048750638962,0.277698278427124,0.9895909544825554,0.022452786564826965,0.3076750636100769,0.23465324938297272,0.11076777428388596,0.3140421211719513
30,0.9261833886802197,0.0381871722638607,0.45994317531585693,0.06638453900814056,0.09074000269174576,0.27092859148979187,1.3611577838659286,0.024415427818894386,0.5643929839134216,0.3180970847606659,0.12948070466518402,0.3247714936733246
31,0.8842869005203247,0.029645944014191628,0.425484836101532,0.06374458223581314,0.09244856238365173,0.2729627788066864,1.196674438714981,0.02880188077688217,0.4045593738555908,0.2856120765209198,0.1365998387336731,0.34110110998153687
32,0.9812279261350632,0.03403624892234802,0.515839159488678,0.06434012204408646,0.09218079596757889,0.2748316824436188,1.2401657646894455,0.04245392978191376,0.3535213768482208,0.36856308579444885,0.13352930545806885,0.3420982360839844
